date,chain,deposit_usd,withdraw_usd,netflow_usd
2024-11-22,Solana,26669315.55528151,49817688.01738151,-23148372.462100003
2024-11-23,Solana,36024733.31030237,48706294.85083089,-12681561.540528521
2024-11-24,Solana,23407459.543341912,41401449.31765329,-17993989.77431138
2024-11-25,Solana,45296707.07721878,36246077.559992075,9050629.517226703
2024-11-26,Solana,29242102.70126678,54083206.221954696,-24841103.520687915
2024-11-27,Solana,56059064.31404779,83963582.84759042,-27904518.533542626
2024-11-28,Solana,50477459.1565698,42937649.35002526,7539809.806544542
2024-11-29,Solana,46966188.42146174,51153999.07294491,-4187810.6514831707
2024-11-30,Solana,40137942.86231232,38009836.92983808,2128105.932474233
2024-12-01,Solana,34490950.06145712,35073791.79884902,-582841.7373918965
2024-12-02,Solana,69530406.13931787,39002173.229396336,30528232.909921534
2024-12-03,Solana,62968115.42814735,59224930.229100995,3743185.1990463585
2024-12-04,Solana,60314020.86119139,50962294.261051215,9351726.600140177
2024-12-05,Solana,59369274.86327187,64071955.5232908,-4702680.660018928
2024-12-06,Solana,48114267.24387953,59103632.15280326,-10989364.90892373
2024-12-07,Solana,27293069.109464183,35087070.73368071,-7794001.624216527
2024-12-08,Solana,31648033.978478573,35777786.93765549,-4129752.9591769204
2024-12-09,Solana,44353461.04901679,59231489.40072084,-14878028.351704054
2024-12-10,Solana,28868225.941323455,54559393.19859961,-25691167.25727615
2024-12-11,Solana,32814427.04321648,47190166.32216118,-14375739.278944701
2024-12-12,Solana,43329224.57904735,35084114.87978768,8245109.699259669
2024-12-13,Solana,54702779.152078345,54277192.22418898,425586.927889362
2024-12-14,Solana,52503499.18405932,40078830.15727415,12424669.026785173
2024-12-15,Solana,35358618.67991732,36572716.39009879,-1214097.7101814672
2024-12-16,Solana,68000810.33774532,46804645.792181715,21196164.54556361
2024-12-17,Solana,63586015.788416415,82935535.14485097,-19349519.356434554
2024-12-18,Solana,46189366.477851614,54815674.546978146,-8626308.069126531
2024-12-19,Solana,44799831.9397707,60655750.83028583,-15855918.890515134
2024-12-20,Solana,38521403.05448635,49430710.91054137,-10909307.856055021
2024-12-21,Solana,37449820.64605266,42743737.43742795,-5293916.791375294
2024-12-22,Solana,12302842.107664801,24653435.67299295,-12350593.565328147
2024-12-23,Solana,42995065.2172305,39142287.496294275,3852777.720936224
2024-12-24,Solana,53118340.92762596,28061817.20800239,25056523.719623573
2024-12-25,Solana,11480892.697045242,28210627.815553736,-16729735.118508494
2024-12-26,Solana,41831563.11393972,23093027.113093175,18738536.000846542
2024-12-27,Solana,34273563.99276249,17654459.607122596,16619104.385639895
2024-12-28,Solana,14666452.600707145,20828670.501424175,-6162217.900717029
2024-12-29,Solana,18000391.405810382,23951182.631476026,-5950791.225665644
2024-12-30,Solana,31566602.78413942,32363897.435199555,-797294.6510601342
2024-12-31,Solana,32477770.185568962,42979058.87780789,-10501288.69223893
2025-01-01,Solana,17913714.014393777,30961265.08701643,-13047551.072622653
2025-01-02,Solana,43130225.88540739,63299025.33812749,-20168799.4527201
2025-01-03,Solana,34821245.54755515,48982956.17666068,-14161710.62910553
2025-01-04,Solana,26200265.81507835,29757527.239462916,-3557261.424384564
2025-01-05,Solana,32224629.312017,34435209.64733109,-2210580.3353140876
2025-01-06,Solana,47881737.10519844,50458179.14074721,-2576442.035548769
2025-01-07,Solana,21803244.710584845,38798672.009385206,-16995427.29880036
2025-01-08,Solana,38566794.343700685,43768607.96447818,-5201813.620777495
2025-01-09,Solana,20539607.53192682,25328147.741010886,-4788540.2090840675
2025-01-10,Solana,26887580.808416937,20413920.882148597,6473659.926268339
2025-01-11,Solana,11653712.67080313,23061086.397966556,-11407373.727163427
2025-01-12,Solana,16510459.44473351,23898500.898298588,-7388041.453565078
2025-01-13,Solana,32620115.221882828,33883994.644881815,-1263879.4229989871
2025-01-14,Solana,63201892.36009221,31527418.317866135,31674474.042226072
2025-01-15,Solana,31281385.233427778,35971843.86121401,-4690458.627786234
2025-01-16,Solana,25481810.07204672,37640385.07718045,-12158575.005133733
2025-01-17,Solana,33931295.39792944,59167653.358950436,-25236357.961021
2025-01-18,Solana,99779765.12173931,248388285.4793517,-148608520.35761237
2025-01-19,Solana,143009029.6658492,261874896.10493952,-118865866.43909031
2025-01-20,Solana,125627790.66082856,141686766.549177,-16058975.88834843
2025-01-21,Solana,110375325.56218848,67273894.9201208,43101430.64206767
2025-01-22,Solana,63874914.86528476,57383265.4388805,6491649.42640426
2025-01-23,Solana,58475521.632406354,53456872.329787344,5018649.30261901
2025-01-24,Solana,62991011.09355962,47262763.68747802,15728247.406081602
2025-01-25,Solana,29917331.032582864,33750231.80503422,-3832900.772451356
2025-01-26,Solana,42515158.271703035,33116746.697832637,9398411.573870398
2025-01-27,Solana,57704380.39241363,45981171.53121475,11723208.86119888
2025-01-28,Solana,42258149.47955202,43759194.07247753,-1501044.5929255038
2025-01-29,Solana,35794036.19698174,42248907.96091853,-6454871.763936788
2025-01-30,Solana,50853254.63945499,56535275.586721875,-5682020.947266884
2025-01-31,Solana,51229977.97320657,22993617.090343274,28236360.882863298
2025-02-01,Solana,33950282.06740463,25785126.001289625,8165156.066115003
2025-02-02,Solana,44293331.99302723,26574601.642970018,17718730.350057214
2025-02-03,Solana,70125474.86430639,56533801.122411855,13591673.741894536
2025-02-04,Solana,34692554.79687464,29652127.66237912,5040427.134495523
2025-02-05,Solana,36303539.75587696,24272767.137304667,12030772.618572291
2025-02-06,Solana,50117358.62952871,26895782.111062106,23221576.518466603
2025-02-07,Solana,36712138.3560487,32295004.800297797,4417133.5557509065
2025-02-08,Solana,15163252.219136892,17051844.475173257,-1888592.2560363654
2025-02-09,Solana,25915575.125102397,38349959.19046852,-12434384.065366123
2025-02-10,Solana,24299371.30804986,55169186.40519655,-30869815.097146686
2025-02-11,Solana,18013295.86843469,33171885.134585213,-15158589.266150523
2025-02-12,Solana,34637248.5150729,27183090.08253498,7454158.432537917
2025-02-13,Solana,44028050.9392181,30511628.425553255,13516422.513664842
2025-02-14,Solana,28569919.015915543,55116741.385302134,-26546822.36938659
2025-02-15,Solana,28934917.194155026,22533047.518211532,6401869.675943494
2025-02-16,Solana,36481067.27825825,16945878.954623844,19535188.323634405
2025-02-17,Solana,46519018.747941986,32115215.78462659,14403802.963315398
2025-02-18,Solana,48157785.634083964,39656093.258713864,8501692.3753701
